
NCC_number, name, class, type
801, Jennings, ptolemy,transport_tug
802, Ah_Rashid, ptolemy,transport_tug
803, Anaxagoras, ptolemy,transport_tug
804, Anaximander, ptolemy,transport_tug
805, Aristarchus, ptolemy,transport_tug
806, Ibn_Daud,ptolemy,transport_tug
807, Eratosthenes, ptolemy,transport_tug
808, Galilei, ptolemy,transport_tug
809, Hipparchus, ptolemy,transport_tug
810, Ulugh_Beg, ptolemy,transport_tug
811, Philolaus, ptolemy,transport_tug
812, Thales, ptolemy,transport_tug
813, Hevelius, ptolemy,transport_tug
814, Tonti, ptolemy,transport_tug
NAR_1214, Schichang, ptolemy,transport_tug
NAR_1215, Nancang, ptolemy,transport_tug
NAR_1216, Taikang, ptolemy,transport_tug
NAR_1217, Fancang, ptolemy,transport_tug
NAR_1218, Dayun, ptolemy,transport_tug
865, Somnulus, somnulus, hospital_ship
866, Lakshadweep, somnulus, hospital_ship
867, Morona, somnulus, hospital_ship
868, Paolucci, somnulus, hospital_ship
NAR_1219, Julian_Apaza, somnulus, hospital_ship
NAR_1220, Oswaldo_Cruz, somnulus, hospital_ship
NAR_1221, Carlos_Chagas, somnulus, hospital_ship
NAR_1222, Donna_Margarita, somnulus, hospital_ship
NAR_1223, San_Giusto, somnulus, hospital_ship
880, Hellespont, hellespont, destroyer
881, Perseus, hellespont, destroyer
882, Circe, hellespont, destroyer
883, Aegeus, hellespont, destroyer
884, Nereus, hellespont, destroyer
885, Atalanta, hellespont, destroyer
886, Europa, hellespont, destroyer
887, Achania, hellespont, destroyer
888, Tyrnis, hellespont, destroyer
889, Troezen, hellespont, destroyer
890, Athena, hellespont, destroyer
891, Amphitrite, hellespont, destroyer
892, Antietam, hellespont, destroyer
893, Caenis, hellespont, destroyer
894, Artemis, hellespont, destroyer
895, Aeetus, hellespont, destroyer
896, Acheron, hellespont, destroyer
897, Medea, hellespont, destroyer
898, Scylla, hellespont, destroyer
899, Charybdis, hellespont, destroyer
935, Sherman, sherman, transport
936, Von_Drake, sherman, transport
937, Peabody, sherman, transport
938, Nell, sherman, transport
939, Dudley, sherman, transport
NAR_1200, Yamhill, sherman, transport
NAR_1201, Sandra, sherman, transport
NAR_1202, Mayagues, sherman, transport
NAR_1203, Sulphur_Queen, sherman, transport
NGL_1460, Gamesa, sherman, transport
NGL_1461, Khron, sherman, transport
NGL_1462, Puente_Canario, sherman, transport
NGL_1463, Camponalon, sherman, transport
NGL_1464, Alecia, sherman, transport
NGL_1465, Victori_Elena, sherman, transport
NGL_1466, Villa_de_Orio, sherman, transport
NGL_1467, Urlea, sherman, transport
940, Independence, independence, armed_transport
941, Blue_City, independence, armed_transport
942, Branson, independence, armed_transport
943, Kansas_City, independence, armed_transport
944, Saint_Peters, independence, armed_transport
945, Belton, independence, armed_transport
NAR_1204, Westralia, independence, armed_transport
NAR_1205, Durance, independence, armed_transport
NAR_1206, Success, independence, armed_transport
NAR_1207, Heron_Bay, independence, armed_transport
NAR_1208, Somme, independence, armed_transport
NAR_1209, Marne, independence, armed_transport
NFT_1910, Astral_Queen, independence, armed_transport
NFT_1911, Bonne_Girl, independence, armed_transport
NFT_1912, Norkova, independence, armed_transport
NFT_1913, Huron, independence, armed_transport
NFT_1914, Oregon_Trail, independence, armed_transport
NFT_1915, Deirdre, independence, armed_transport
NFT_1916, Kitty_Hawk, independence, armed_transport
NFT_1917, Northern_Star, independence, armed_transport
880, Nelson, nelson, reconnaissance_scout
881, Sager, nelson, reconnaissance_scout
882, Moisanen, nelson, reconnaissance_scout
883, Manzer, nelson, reconnaissance_scout
884, Weblo, nelson, reconnaissance_scout
885, Nostromo, nelson, reconnaissance_scout
886, Eagle, nelson, reconnaissance_scout
887, Hawk, nelson, reconnaissance_scout
888, Scavenger, nelson, reconnaissance_scout
889, Falcon, nelson, reconnaissance_scout
890, Raven, nelson, reconnaissance_scout
NX_1028, Bonaventure, bonaventure, test_vessel
NX_1029, Bonne_Chance, bonaventure, test_vessel
1254, Akula, akula, destroyer
1255, Bars, akula, destroyer
1256, Kit, akula, destroyer
1257, Del'Fin, akula, destroyer
1258, Kashalot, akula, destroyer
1259, Narval, akula, destroyer
1260, Morzh, akula, destroyer
1261, Pantera, akula, destroyer
1262, Volk, akula, destroyer
1264, Leopard, akula, destroyer
1264, Tigr, akula, destroyer
1265, Drakon, akula, destroyer
1266, Vepr, akula, destroyer
1267, Gepard, akula, destroyer
1268, Sadat, akula, destroyer
1269, Kuguar, akula, destroyer
1270, Derf, derf, surveyor
1271, Polynesian, derf, surveyor
1272, Beowulf, derf, surveyor
1273, Spear, derf, surveyor
1274, Acropolis, derf, surveyor
1275, Emory_Land, derf, surveyor
1276, Cable, derf, surveyor
1277, Supply, derf, surveyor
1278, Rainer, derf, surveyor
1279, Arctic, derf, surveyor
1280, Bridge, derf, surveyor
1281, Kilauea, derf, surveyor
1282, Santa_Barbara, derf, surveyor
1283, Flint, derf, surveyor
1284, Shasta, derf, surveyor
1285, Mount_Baker, derf, surveyor
1286, Kiska, derf, surveyor
1287, Niagrara, derf, surveyor
1288, Concorde, derf, surveyor
1289, San_Jose, derf, surveyor
NAR_1279, Kanawha, derf, surveyor
NAR_1280, Pecos, derf, surveyor
NAR_1281, Big_Horn, derf, surveyor
NAR_1282, Patuxtent, derf, surveyor
NAR_1283, Laramie, derf, surveyor
NAR_1284, Gadualupe, derf, surveyor
NAR_1285, Rappahannock, derf, surveyor
1290, Marco_Polo, marco_polo, research_cruiser
1291, Bren, marco_polo, research_cruiser
1292, Clute, marco_polo, research_cruiser
1293, Ozbourne, marco_polo, research_cruiser
1294, Fithian, marco_polo, research_cruiser
1295, Asaro, marco_polo, research_cruiser
1296, Bakker, marco_polo, research_cruiser
1297, Holding, marco_polo, research_cruiser
1298, Ciaschini, marco_polo, research_cruiser
1299, Leeward, marco_polo, research_cruiser
1400, Larson, larson, heavy_destroyer
1401, Midway, larson, heavy_destroyer
1402, Tannenburg, larson, heavy_destroyer
1403, Trafalgar, larson, heavy_destroyer
1404, Thelenth, larson, heavy_destroyer
1405, Waterloo, larson, heavy_destroyer
1406, Borodino, larson, heavy_destroyer
1407, Austerlitz, larson, heavy_destroyer
1408, Normandy, larson, heavy_destroyer
1409, Marathon, larson, heavy_destroyer
1410, Pharsalus, larson, heavy_destroyer
1411, Crecy, larson, heavy_destroyer
1412, Poitiers, larson, heavy_destroyer
1413, Agincourt, larson, heavy_destroyer
1414, Bienheim, larson, heavy_destroyer
1415, Torgau, larson, heavy_destroyer
1416, Eylau, larson, heavy_destroyer
1417, Leyte, larson, heavy_destroyer
1418, Leipzig, larson, heavy_destroyer
1419, Buena_Vista, larson, heavy_destroyer
1420, Garbo, larson, heavy_destroyer
1421, Catinian, larson, heavy_destroyer
1422, Gallipoli, larson, heavy_destroyer
1423, Jutland, larson, heavy_destroyer
1424, Anzio, larson, heavy_destroyer
1448, Burke, burke, frigate
1449, Barry, burke, frigate
1450, Jones, burke, frigate
1451, Wilbur, burke, frigate
1452, Stout, burke, frigate
1453, McCain, burke, frigate
1454, Mitscher, burke, frigate
1455, Laboon, burke, frigate
1456, Russell, burke, frigate
1457, Hamilton, burke, frigate
1458, Ramage, burke, frigate
1459, Fitzgerald, burke, frigate
1460, Sthethem, burke, frigate
1461, Carney, burke, frigate
1462, Benfold, burke, frigate
1463, Gonzalez, burke, frigate
1464, Cole, burke, frigate
1465, Sullivans, burke, frigate
1466, Mulius, burke, frigate
1467, Hopper, burke, frigate
1468, Ross, burke, frigate
1469, Mahan, burke, frigate
1470, McFaul, burke, frigate
1471, cook, burke, frigate
1472, Higgins, burke, frigate
1473, O'Kane, burke, frigate
1474, Porter, burke, frigate
1500, Anton, anton, cruiser
1501, Anderson, anton, cruiser
1502, Hammermann, anton, cruiser
1503, Hughes, anton, cruiser
1504, Simes, anton, cruiser
1505, Mustin, anton, cruiser
1506, Ruseel, anton, cruiser
1507, O'Brien, anton, cruiser
1508, Walke, anton, cruiser
1509, Hull, anton, cruiser
1510, Hilbert, anton, cruiser
1511, Gunn, anton, cruiser
1535, Wayfarer, wayfarer, research_frigate
1536, Vavilov, wayfarer, research_frigate
1537, Shackleton, wayfarer, research_frigate
1538, James_Ross, wayfarer, research_frigate
1539, Onnuri, wayfarer, research_frigate
1558, Taurus, taurus, cruiser
1559, Oblia, taurus, cruiser
1560, Roma, taurus, cruiser
1561, Tirrenia, taurus, cruiser
1562, Snelling, taurus, cruiser
1563, Casa_Grande, taurus, cruiser
1564, Taborfjell, taurus, cruiser
1565, Tal_Shan, taurus, cruiser
1566, Brovig, taurus, cruiser
1567, Gallia, taurus, cruiser
1568, Strachan, taurus, cruiser
1569, Wyvern, taurus, cruiser
1590, Montojo, montojo, transport_tug
1591, Cavera, montojo, transport_tug
1592, Colon, montojo, transport_tug
1593, Olivia, montojo, transport_tug
1594, Pasaron, montojo, transport_tug
1595, Langara, montojo, transport_tug
1596, Topete, montojo, transport_tug
1597, Moriscos, montojo, transport_tug
1598, Aquinaldo, montojo, transport_tug
1599, Anthonio, montojo, transport_tug
1636, Izmail, izmail, cruiser
1637, Kinburn, izmail, cruiser
1638, Bogatir, izmail, cruiser
1639, Butakov, izmail, cruiser
1640, Loknar, loknar, frigate
1641, Ahkeil, loknar, frigate
1642, Vernol, loknar, frigate
1643, Tarntis, loknar, frigate
1644, Alexandretta, loknar, frigate
1645, Morgan_City, loknar, frigate
1646, Troy, loknar, frigate
1647, Farside, loknar, frigate
1648, New_America, loknar, frigate
1649, Kosk, loknar, frigate
1650, Borga, loknar, frigate
1651, Peking, loknar, frigate
1652, Epcot, loknar, frigate
1653, Aldebaran, loknar, frigate
1654, Argus_City, loknar, frigate
1655, Yorkshire, loknar, frigate
1656, Boirdi, loknar, frigate
1657, New_Corinth, loknar, frigate
1658, Kyoto, loknar, frigate
1659, Petrograd, loknar, frigate
1700, Constitution, constitution, cruiser 
1017, Constellation, constitution, cruiser 
1305-A, Yamato, constitution, cruiser 
1701, Enterprise, constitution, cruiser 
1702, Nimitz, constitution, cruiser 
1703, Hood, constitution, cruiser 
1704, Bismark, constitution, cruiser 
1705, Excalibur, constitution, cruiser 
1706, Exeter, constitution, cruiser 
1707, Valiant, constitution, cruiser 
1708, Intrepid, constitution, cruiser 
1709, Lexington, constitution, cruiser 
1710, Kongo, constitution, cruiser 
1711, Potemkin, constitution, cruiser 
1712, Bonhomme_Richard, constitution, cruiser 
1713, Monitor, constitution, cruiser 
1714, Hornet, constitution, cruiser 
1715, Merrimac, constitution, cruiser 
1716, Endeavor, constitution, cruiser 
1717, Yorktown, constitution, cruiser 
1718, Essex, constitution, cruiser 
1719, Akagi, constitution, cruiser 
1760, Ti-Ho,constitution, cruiser 
1761, Soryu, constitution, cruiser 
1762, Hiryu, constitution, cruiser 
1763, Excelsior, constitution, cruiser 
1764, Defiant, constitution, cruiser 
1725, Longbow, longbow, battlecruiser
1726, Crossbow, longbow, battlecruiser
1727, Fencer, longbow, battlecruiser
1728, Broadsword, longbow, battlecruiser
1729, Cutlass, longbow, battlecruiser
1730, Dagger, longbow, battlecruiser
1731, Carronade, longbow, battlecruiser
1780, Decatur, decatur, cruiser
1781, Belknap, decatur, cruiser
1782, Springfield, decatur, cruiser
1783, America, decatur, cruiser
1784, Yarnell, decatur, cruiser
1785, Worden, decatur, cruiser
1786, Dale,decatur, cruiser
1787, Halsey, decatur, cruiser
1788, Daniels, decatur, cruiser
1789, Jouette, decatur, cruiser
1790, Gates, decatur, cruiser
1791, Mobile_Bay, decatur, cruiser
1792, Antietam, decatur, cruiser
1793, Princeton, decatur, cruiser
1795, Port_Royal, decatur, cruiser
1796, Leyete_Gulf, decatur, cruiser
1797, Monterey, decatur, cruiser
1798, Chosin, decatur, cruiser
1799, Hugh_city, decatur, cruiser
1850, Surya, surya, frigate
1851, Illusive, surya, frigate
1852, Antrim, surya, frigate
1853, Durmitov, surya, frigate
1854, Kanaris, surya, frigate
1855, Pralaya, surya, frigate
1856, Hashira, surya, frigate
1857, Adalucia, surya, frigate
1868, Brilliant, surya, frigate
1859, Thetis, surya, frigate
1860, Miranda, surya, frigate
1861, Tian_An_Men, surya, frigate
1862, Tempest, surya, frigate
1863, Deneter, surya, frigate
1864, Reliant, surya, frigate
1865, Vigilant, surya, frigate
1866, Oberon, surya, frigate
1867, Saratoga, surya, frigate
1868, Enforcer, surya, frigate
1869, Valhalla, surya, frigate
1870, Sutherland, surya, frigate
1871, Redan, surya, frigate
1872, Perseus, surya, frigate 
2100, Federation, federation, dreadnought
2101, Star League, federation, dreadnought
2102,  Unification, federation, dreadnought
2117, Confederation, federation, dreadnought
2118, Star_Empire, federation, dreadnought
2119, Trusteeship, federation, dreadnought
2120, Entente, federation, dreadnought
2126, Washinton, washington, heavy_carrier
2127, Polk, washington, heavy_carrier
2128, Eisenhower, washington, heavy_carrier
2129, Reagan, washington, heavy_carrier
530, Cochise, cochise, torpedo_destroyer
531, Alva, cochise, torpedo_destroyer
532, Pontiac, cochise, torpedo_destroyer
533, Ney, cochise, torpedo_destroyer
534, Geronimo, cochise, torpedo_destroyer
535, Cortez, cochise, torpedo_destroyer
536, Alvarado, cochise, torpedo_destroyer
21160, De_Ruyter, cochise, torpedo_destroyer
21161, Hektor, cochise, torpedo_destroyer
21162, Lysander, cochise, torpedo_destroyer
21163, Drake, cochise, torpedo_destroyer
21164, Appollyon, cochise, torpedo_destroyer
21165, Scott, cochise, torpedo_destroyer
1830, Sherabo, sherabo, research_frigate
1831, Dalziel, sherabo, research_frigate
1832, Marray, sherabo, research_frigate
1833, Ward, sherabo, research_frigate
1834, Howard, sherabo, research_frigate
1835, Rutherford, sherabo, research_frigate
1836, Blaikley, sherabo, research_frigate
1837, Pye, sherabo, research_frigate
1838, Lantree, sherabo, research_frigate
1839, Meek, sherabo, research_frigate
2230, Durmitov, miranda, heavy_frigate
31859, Sitak, miranda, heavy_frigate
31905, ShirKahr, miranda, heavy_frigate
31909, Trial, miranda, heavy_frigate
31910, Nautilus, miranda, heavy_frigate
1920, Knox, knox, escort_frigate
1921, Buckley, knox, escort_frigate
1922, Chevalier, knox, escort_frigate
1923, Corry, knox, escort_frigate
1924, Small, knox, escort_frigate
1925, Greene, knox, escort_frigate
1926, Fechteler,knox, escort_frigate
1927, Duncan, knox, escort_frigate
1928, Benner, knox, escort_frigate
1929, Cecil, knox, escort_frigate
1930, Fiske, knox, escort_frigate
1931, Dyess, knox, escort_frigate
1932, Thomas, knox, escort_frigate
1933, Higbee, knox, escort_frigate
1934, Camona, knox, escort_frigate
1935, Muir, knox, escort_frigate
1936, Blackwood, knox, escort_frigate
1937, Furse, knox, escort_frigate
1938, Goodrich, knox, escort_frigate
1939, Hanson, knox, escort_frigate
1947, Hawkins, knox, escort_frigate
1948, Cowan, knox, escort_frigate
1949, Kirk, knox, escort_frigate
2216, Durret, durret, frigate
2217, Rasalgethi, durret, frigate
2218, Lapon, durret, frigate
2219, Shelikov, durret, frigate
2220, Goncharov, durret, frigate
2221, Nerode, durret, frigate
2222, Remmel, durret, frigate
2223, Marek, durret, frigate
