

class name, type, subclasses
Cahuya, Science/ Survey Cruiser,NA
Einstein, Timeslip Cruiser,NA
Engage, Perimeter Action Ship,NA
Capital, Heavy Space Control Ship 
Entente, Dreadnought,NA
Caracal, Command Cruiser ,NA
Etna, Command Ship,NA
Excel, Strike Cruiser ,NA
Kirov, Dreadnought,NA
Excelsior, Heavy Cruiser ,NA
Kirsanov, Large Perimeter Action Ship,NA
Explorer, Reconnaissance Cruiser ,NA
Knox, Frigate,NA
Faranarton, Heavy Tug ,NA
Kobayashi Maru, Neutronic Fuel Carrier,NA
Federation/ Federation (II), Dreadnought ,NA
Kodiak, Battleship,NA
Firestone, Battlecruiser ,NA
Komsomolsk, Dreadnought,NA
Fisher, Light Transport/ Tug ,NA
Kresta, Heavy Frigate,NA
Fredrikstad, Shuttlecarrier ,NA
Laffey, Cruiser,NA
Freedom, Scout ,NA
Larson, Destroyer , Larson / Balaklava/ Kohlar/ Sheridan
Fury, Small Frigate ,NA
Gabriel, Shuttlecarrier ,NA
Lautaro, Corvette,NA
Gagarin, Science Scout ,NA
Leavenworth, Frigate,NA
Galaxy, Large Exploratory Cruiser , Galaxy / Galaxy (II)
Lng'we Chi, Exploratory Cruiser,NA
Lobo, Through-Deck Carrier,NA
Garibaldi, Light Carrier ,NA
Loki, Destroyer,NA
Gasparilla, Combat Support Ship ,NA
Loknar, Frigate , Loknar/ Lactra/ Cairo/ Jezar
Gemini, Exploratory-Cruiser ,NA
Greer, Corsair ,NA
MacPherson, Heavy Transport,NA
Gregory, Exploratory Cruiser ,NA
Maguellanes, Escort Cruiser,NA
Griffin, Supply Tender ,NA
Majestic, Heavy Cruiser,NA
Griffon, Battleship ,NA
Mare Nubium, Escort Carrier,NA
Guardian Angel, Rapid Response Cruiser ,NA
Maxwell, Strike Cruiser,NA
Halsey, Destroyer Escort ,NA
Mediterranean, Freighter,NA
Hansen, Battleship ,NA
Menahga, Heavy Destroyer,NA
Hattield, Command Cruiser ,NA
Michael Adam, Scout,NA
Hellion, Heavy Destroyer ,NA
Miranda, Cruiser,NA
Hensley, Heavy Transport/ Tug ,NA
Mitannic, Battlecruiser,NA
Hermes, Scout, Hermes/ Monoceros/ Cygnus/Hermes (II)
Nebula, Light Cruiser,NA
New Jersey, Battleship,NA
Hillery, Scout ,NA
New Orleans, Frigate,NA
Hippocrates, Medical Frigate ,NA
Niagara, Fast Cruiser,NA
Hippocrates (II), Medical Frigate ,NA
Nichter, Dreadnought,NA
Hollingsworth, Penetration Cruiser ,NA
Niffen, Buoy Tender,NA
Hopi, Large Survey Vessel ,NA
Nimitz, Strike Carrier,NA
Horizon, Cruiser ,NA
Nineveh, Large Exploratory Cruiser,NA
Hubble, Research Cruiser ,NA
Niven, Light Attack Cruiser,NA
Huntington, Deuterium Tanker ,NA
Nomad, Exploratory Cruiser,NA
Ianar, Fast Frigate ,NA
Normandy, Supercarrier,NA
Ianetos, Superscout ,NA
Northampton, Frigate,NA
Impervious, Strike Cruiser ,NA
Norway, Frigate,NA
Independence, Armed Freighter ,NA
Nova, Research Vessel,NA
Indomitable, Battleship ,NA
NX, Cruiser,NA
Ingram, Space Control Ship ,NA
Oberth, Scout,NA
Intrepid, Cruiser ,NA
Olympic, Medical Ship,NA
Irreverence, Heavy Cruiser ,NA
Olympus, Dreadnought,NA
Jeannette Maddox, Scout ,NA
Oriskany, Through-Deck Cruiser,NA
Jenshahn, Heavy Carrier ,NA
Orka, Gunboat,NA
Jester, Light Corvette ,NA
Osiris, Command Cruiser,NA
Joshua, Command Cruiser ,NA
Osler, Hospital Transport,NA
Joshua Paul, Heavy Frigate ,NA
Ostoris, Freighter,NA
Juliet, Corvette ,NA
Paladin, Destroyer/ Scout,NA
Jurassic, Exploratory Cruiser ,NA
Palomar, Command Cruiser,NA
Kaga, Light Carrier ,NA
Peacekeeper, Large Exploratory Cruiser,NA
Karekh, Scout ,NA
Phantom, Superscout (Prototype),NA
Kearsarge, Light Cruiser ,NA
Pharris, Strategic Frigate (Prototype),NA
Kentwood, Bulk Cargo Carrier ,NA
Pleiades, Survey Cruiser,NA
Kestral, Superscout ,NA
Podesti, Cruiser,NA
Kiaga, Perimeter Action Ship ,NA
Poseidon, Cruiser,NA
Prometheus, Tactical Cruiser,NA
Prowler, Interceptor,NA
Ptolemy, Transport/ Tug , Ptolemy/ Keppler/ Doppler/ Dollond/ Ptolemy (II)/ Moncrief / Lagrange
Qapla, Heavy Cruiser,NA
Ranger, Scout,NA

Re, Space Control Ship,NA
Refuge, Hospital Ship,NA
Renaissance, Scout,NA
Renner, Corvette,NA
Riga, Corvette,NA
Rising Star, Starliner,NA
Rosenzweig, Attack Cruiser,NA
Rothwell, Light Cruiser,NA
Saber, Scout,NA

Saladin, Destroyer , Saladin/ Siva /Cochise/ Saladin (II)
Santee, Ecort Carrier,NA
Sasser, Cruiser,NA
Schmidt, Tug,NA
Scimitar, Fast Destroyer (Prototype),NA
Shanks, Light Cruiser,NA
S'harien, Battlecruiser (Prototype),NA
Solaris, Cruiser,NA
Sovereign, Heavy Cruiser,NA
Sovyuz, Tactical Frigate,NA
Spectre, Destroyer,NA
Star League, Dreadnought,NA
Starstalker, Patrol Cruiser,NA
Steamrunner, Heavy Destroyer,NA
Surya, Frigate,NA
Swiften, Fast Destroyer,NA
Sydney, Transport,NA
The Sullivans, Heavy Tactical Frigate,NA
Thruxton, Tactical Cruiser,NA
Todega, Tug,NA
Triumph, Research Cruiser,NA
Trojan, Troop Transport,NA
Valor, Exploratory Cruiser,NA
Vanguard, Scout,NA
Vindicator, Heavy Frigate,NA
Wambundu, Light Cruiser,NA
Warlord, Heavy Destroyer (Single-Vessel Class),NA
Wells Fargo, Transport,NA
Yeager, Scout,NA
Yorktown, Light Carrier,NA
Youngblood, Heavy Carrier,NA
